t	x_ekf	y_ekf	th_ekf
0.0000	0.0000	-2.0000	0.0006
0.0700	0.0000	-2.0000	0.0006
0.1350	0.0000	-2.0000	0.0006
0.1740	0.0000	-2.0000	0.0006
0.2360	0.0000	-2.0000	0.0006
0.3030	0.0000	-2.0000	0.0006
0.3690	0.0000	-2.0000	0.0006
0.4320	0.0000	-2.0000	0.0006
0.5020	0.0000	-2.0000	0.0006
0.5350	0.0000	-2.0000	0.0006
0.6040	0.0000	-2.0000	0.0006
0.6370	0.0000	-2.0000	0.0006
0.6680	0.0000	-2.0000	0.0006
0.6890	0.0000	-2.0000	0.0006
0.7690	0.0000	-2.0000	0.0006
0.8020	0.0000	-2.0000	0.0006
0.8700	0.0000	-2.0000	0.0006
0.9370	0.0000	-2.0000	0.0006
1.0040	0.0000	-2.0000	0.0006
1.0360	0.0000	-2.0000	0.0006
1.1010	0.0000	-2.0000	0.0006
1.1710	0.0000	-2.0000	0.0006
1.2380	0.0000	-2.0000	0.0006
1.3040	0.0000	-2.0000	0.0006
1.3380	0.0000	-2.0000	0.0006
1.4040	0.0000	-2.0000	0.0006
1.4350	0.0000	-2.0000	0.0006
1.5020	0.0000	-2.0000	0.0006
1.5700	0.0000	-2.0000	0.0006
1.6040	0.0000	-2.0000	0.0006
1.6670	0.0000	-2.0000	0.0006
1.7030	0.0000	-2.0000	0.0006
1.7360	0.0000	-2.0000	0.0006
1.7690	0.0000	-2.0000	0.0006
1.8380	0.0000	-2.0000	0.0006
1.9050	0.0000	-2.0000	0.0006
1.9370	0.0000	-2.0000	0.0006
2.0030	0.0000	-2.0000	0.0006
2.0380	0.0000	-2.0000	0.0006
2.1030	0.0000	-2.0000	0.0006
2.1360	0.0000	-2.0000	0.0006
2.1700	0.0000	-2.0000	0.0006
2.2390	0.0000	-2.0000	0.0006
2.2710	0.0000	-2.0000	0.0006
2.3020	0.0000	-2.0000	0.0006
2.3340	0.0000	-2.0000	0.0006
2.4010	0.0000	-2.0000	0.0006
2.4360	0.0079	-2.0000	0.0006
2.4680	0.0178	-2.0000	0.0006
2.5040	0.0575	-2.0000	0.0008
2.5370	0.0973	-1.9999	0.0013
2.6030	0.1372	-1.9999	0.0026
2.6340	0.1873	-1.9998	0.0054
2.7000	0.2476	-1.9995	0.0102
2.7670	0.2880	-1.9991	0.0144
2.8370	0.3510	-1.9982	0.0214
2.8680	0.4169	-1.9966	0.0288
2.9020	0.4281	-1.9963	0.0301
2.9370	0.4733	-1.9949	0.0352
3.0030	0.5188	-1.9932	0.0405
3.0360	0.5649	-1.9912	0.0450
3.0700	0.6109	-1.9891	0.0483
3.1050	0.6565	-1.9868	0.0507
3.1710	0.7130	-1.9839	0.0526
3.2390	0.7691	-1.9809	0.0535
3.2680	0.8251	-1.9779	0.0536
3.3380	0.8922	-1.9743	0.0532
3.4010	0.9371	-1.9720	0.0531
3.4420	0.9934	-1.9690	0.0531
3.4660	1.0271	-1.9672	0.0531
3.5350	1.0721	-1.9648	0.0531
3.5700	1.1171	-1.9624	0.0532
3.6340	1.1733	-1.9594	0.0532
3.7040	1.2406	-1.9558	0.0532
3.7370	1.3079	-1.9522	0.0532
3.7670	1.3191	-1.9516	0.0532
3.8030	1.3637	-1.9493	0.0532
3.8690	1.4081	-1.9469	0.0532
3.9010	1.4523	-1.9445	0.0532
3.9210	1.4855	-1.9428	0.0532
3.9690	1.5186	-1.9410	0.0531
4.0030	1.5628	-1.9387	0.0531
4.0700	1.6181	-1.9357	0.0531
4.1370	1.6843	-1.9322	0.0531
4.1710	1.7396	-1.9293	0.0531
4.2330	1.7947	-1.9263	0.0531
4.3040	1.8499	-1.9234	0.0531
4.3680	1.9051	-1.9205	0.0531
4.3990	1.9603	-1.9175	0.0531
4.4370	2.0044	-1.9152	0.0530
4.4700	2.0154	-1.9146	0.0530
4.5040	2.0596	-1.9123	0.0530
4.5360	2.1037	-1.9099	0.0530
4.6030	2.1478	-1.9076	0.0530
4.6380	2.2029	-1.9047	0.0530
4.6690	2.2360	-1.9029	0.0529
4.7010	2.2580	-1.9017	0.0529
4.7370	2.3021	-1.8994	0.0529
4.8010	2.3572	-1.8965	0.0529
4.8700	2.4123	-1.8936	0.0529
4.8900	2.4564	-1.8912	0.0529
4.9380	2.4784	-1.8901	0.0529
4.9680	2.5335	-1.8872	0.0528
5.0370	2.5996	-1.8837	0.0528
5.0700	2.6326	-1.8819	0.0528
5.1380	2.6767	-1.8796	0.0528
5.1700	2.7207	-1.8773	0.0528
5.1990	2.7647	-1.8749	0.0528
5.2680	2.8198	-1.8720	0.0528
5.3010	2.8748	-1.8691	0.0528
5.3370	2.8858	-1.8685	0.0528
5.3660	2.9189	-1.8668	0.0527
5.4370	2.9849	-1.8633	0.0527
5.4710	3.0399	-1.8604	0.0527
5.5370	3.0840	-1.8581	0.0527
5.5700	3.1390	-1.8552	0.0527
5.6380	3.1830	-1.8529	0.0526
5.6680	3.2270	-1.8505	0.0526
5.7380	3.2930	-1.8471	0.0526
5.8010	3.3700	-1.8430	0.0526
5.8700	3.4140	-1.8407	0.0526
5.9000	3.4690	-1.8378	0.0526
5.9690	3.5350	-1.8343	0.0525
6.0360	3.5680	-1.8326	0.0525
6.0700	3.6230	-1.8297	0.0525
6.1030	3.6780	-1.8268	0.0525
6.1350	3.6890	-1.8262	0.0525
6.1700	3.7330	-1.8239	0.0525
6.2360	3.7880	-1.8210	0.0525
6.3030	3.8430	-1.8181	0.0524
6.3370	3.8980	-1.8153	0.0524
6.3690	3.9419	-1.8130	0.0524
6.4040	3.9639	-1.8118	0.0524
6.4370	4.0079	-1.8095	0.0524
6.5030	4.0519	-1.8072	0.0524
6.5370	4.1069	-1.8043	0.0524
6.5990	4.1728	-1.8008	0.0523
6.6680	4.2168	-1.7985	0.0523
6.7030	4.2608	-1.7962	0.0523
6.7350	4.3047	-1.7939	0.0523
6.8050	4.3597	-1.7911	0.0523
6.8690	4.4256	-1.7876	0.0523
6.9370	4.5026	-1.7836	0.0523
7.0030	4.5466	-1.7813	0.0522
7.0370	4.5905	-1.7790	0.0522
7.1010	4.6455	-1.7761	0.0522
7.1360	4.7004	-1.7732	0.0522
7.2010	4.7664	-1.7698	0.0522
7.2700	4.8323	-1.7664	0.0522
7.3020	4.8763	-1.7641	0.0522
7.3680	4.9202	-1.7618	0.0521
7.4000	4.9752	-1.7589	0.0521
7.4670	5.0411	-1.7555	0.0521
7.5370	5.0851	-1.7532	0.0521
7.5670	5.1291	-1.7509	0.0521
7.6370	5.1840	-1.7480	0.0521
7.6710	5.2389	-1.7452	0.0520
7.7050	5.2499	-1.7446	0.0520
7.7360	5.2939	-1.7423	0.0520
7.8030	5.3378	-1.7400	0.0520
7.8340	5.3928	-1.7371	0.0520
7.9030	5.4587	-1.7337	0.0520
7.9380	5.5027	-1.7314	0.0520
8.0020	5.5576	-1.7286	0.0519
8.0700	5.6125	-1.7257	0.0519
8.1010	5.6675	-1.7229	0.0519
8.1370	5.6785	-1.7223	0.0519
8.1690	5.7114	-1.7206	0.0519
8.2030	5.7664	-1.7177	0.0519
8.2680	5.8213	-1.7149	0.0519
8.3370	5.8763	-1.7120	0.0519
8.3700	5.9312	-1.7092	0.0519
8.4380	5.9971	-1.7057	0.0519
8.5040	6.0411	-1.7035	0.0519
8.5360	6.0960	-1.7006	0.0519
8.6010	6.1509	-1.6977	0.0519
8.6690	6.2169	-1.6943	0.0519
8.7030	6.2718	-1.6915	0.0518
8.7360	6.2828	-1.6909	0.0518
8.7670	6.3267	-1.6886	0.0518
8.8380	6.3926	-1.6852	0.0518
8.9020	6.4696	-1.6812	0.0518
8.9690	6.5135	-1.6789	0.0518
9.0030	6.5684	-1.6761	0.0518
9.0680	6.6344	-1.6727	0.0517
9.1360	6.6893	-1.6698	0.0517
9.1700	6.7442	-1.6670	0.0517
9.2320	6.7882	-1.6647	0.0517
9.3000	6.8431	-1.6619	0.0517
9.3370	6.9090	-1.6585	0.0516
9.4000	6.9639	-1.6556	0.0516
9.4690	7.0079	-1.6534	0.0516
9.5020	7.0628	-1.6505	0.0516
9.5700	7.1177	-1.6477	0.0516
9.6030	7.1727	-1.6449	0.0516
9.6360	7.1837	-1.6443	0.0516
9.6720	7.2276	-1.6420	0.0516
9.7030	7.2716	-1.6398	0.0516
9.7700	7.3265	-1.6369	0.0516
9.8360	7.3924	-1.6335	0.0515
9.8700	7.4363	-1.6313	0.0515
9.9370	7.4803	-1.6290	0.0515
9.9690	7.5242	-1.6267	0.0515
10.0370	7.5682	-1.6245	0.0515
10.0690	7.6231	-1.6216	0.0515
10.1350	7.6780	-1.6188	0.0515
10.2020	7.7330	-1.6160	0.0514
10.2370	7.7989	-1.6126	0.0514
10.3030	7.8648	-1.6092	0.0514
10.3690	7.9087	-1.6069	0.0514
10.4030	7.9637	-1.6041	0.0514
10.4670	8.0186	-1.6013	0.0514
10.5030	8.0735	-1.5985	0.0513
10.5370	8.0845	-1.5979	0.0513
10.5690	8.1285	-1.5956	0.0513
10.6360	8.1724	-1.5934	0.0513
10.6690	8.2164	-1.5911	0.0513
10.7030	8.2603	-1.5889	0.0513
10.7710	8.3042	-1.5866	0.0513
10.8030	8.3482	-1.5844	0.0513
10.8680	8.4031	-1.5815	0.0512
10.8960	8.4580	-1.5787	0.0512
10.9640	8.5240	-1.5753	0.0512
11.0370	8.5899	-1.5720	0.0512
11.1040	8.6668	-1.5680	0.0512
11.1700	8.6997	-1.5663	0.0511
11.2010	8.7547	-1.5635	0.0511
11.2360	8.7986	-1.5613	0.0511
11.2690	8.8206	-1.5601	0.0511
11.3030	8.8645	-1.5579	0.0511
11.3700	8.9085	-1.5557	0.0511
11.4030	8.9524	-1.5534	0.0511
11.4360	8.9963	-1.5512	0.0511
11.5010	9.0513	-1.5484	0.0510
11.5370	9.1062	-1.5455	0.0510
11.5700	9.1172	-1.5450	0.0510
11.6030	9.1611	-1.5427	0.0510
11.6360	9.2051	-1.5405	0.0510
11.7000	9.2490	-1.5383	0.0510
11.7710	9.3040	-1.5355	0.0510
11.8000	9.3589	-1.5327	0.0509
11.8660	9.4138	-1.5299	0.0509
11.9000	9.4687	-1.5271	0.0509
11.9680	9.5237	-1.5243	0.0509
